cno4,occupation_title,exposure_nearest,exposure_weighted,exposure_rf,exposure_group,mean_parados,mean_contratos,pre_mean_parados
3820,Programadores informáticos,0.7451,0.5702894639052434,0.2602296697619047,high,5213.571428571428,2754.8888888888887,4364.285714285715
4301,Grabadores de datos,0.6707,0.4245357798551884,0.1254285747619048,high,4770.68253968254,1677.2063492063492,5509.857142857143
3510,Agentes y representantes comerciales,0.6279,0.6279,0.3149919520274172,high,30545.031746031746,7313.0952380952385,34823.71428571428
2613,Analistas financieros,0.5716,0.2858599869923737,0.276663163888889,high,325.6825396825397,342.14285714285717,375.85714285714283
2719,Analistas y diseñadores de software y multimedia no clasificados bajo otros epígrafes,0.5195,0.5195,0.2068832327777777,high,919.1587301587301,353.4761904761905,856.8571428571429
4113,"Empleados de oficina de servicios estadísticos, financieros y bancarios",0.5099,0.5099,0.1638427784126982,high,6002.523809523809,2060.6031746031745,7027.619047619048
2729,Especialistas en bases de datos y en redes informáticas no clasificados bajo otros epígrafes,0.4859,0.4859,0.2239384757936506,high,222.04761904761904,579.4285714285714,182.0
3814,Técnicos de la web,0.4802,0.4802,0.1536348745238095,high,270.25396825396825,193.52380952380952,206.52380952380952
3812,Técnicos en asistencia al usuario de tecnologías de la información,0.4685,0.4685,0.2319464655555556,high,8307.857142857143,713.5238095238095,8761.47619047619
2652,Profesionales de relaciones públicas,0.453,0.453,0.199299809018759,high,1574.5555555555557,332.6984126984127,1666.047619047619
3535,Portavoces y agentes de relaciones públicas,0.453,0.453,0.2022590035714285,high,74.63492063492063,97.82539682539682,92.42857142857143
4309,Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes,0.4528,0.4528,0.1743223194444444,high,202789.88888888888,15612.190476190477,230411.42857142858
3613,Asistentes de dirección y administrativos,0.4528,0.2342060800162188,0.1553762655555556,high,29129.015873015873,4296.0317460317465,32955.52380952381
4500,Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes,0.4528,0.4528,0.141712455079365,high,2775.8571428571427,25432.4126984127,2790.4285714285716
2822,"Filósofos, historiadores y profesionales en ciencias políticas",0.452,0.2441242590880281,0.1518957538095238,high,2067.285714285714,62.476190476190474,2317.7619047619046
3401,"Profesionales de apoyo e intermediarios de cambio, bolsa y finanzas",0.4413,0.3120525088729973,0.2449027978571429,high,1409.111111111111,67.76190476190476,1742.2857142857142
4412,Recepcionistas (excepto de hoteles),0.4338,0.4338,0.1621506552886004,high,28441.555555555555,4614.015873015873,32401.285714285714
4411,Empleados de información al usuario,0.4338,0.4338,0.1778885515873016,high,6632.3650793650795,1920.2380952380952,6147.809523809524
4430,Agentes de encuestas,0.4316,0.4089343516848489,0.2162769969841271,high,1002.6031746031746,1204.3333333333333,1231.857142857143
2923,"Filólogos, intérpretes y traductores",0.4304,0.4304,0.2149675102380953,high,5327.396825396825,1001.3492063492064,5967.285714285715
4421,Empleados de agencias de viajes,0.4054,0.326858163893616,0.1495526167316016,high,4084.777777777778,840.1111111111111,5119.571428571428
2630,Técnicos de empresas y actividades turísticas,0.4054,0.4054,0.1360500948412698,high,2743.5238095238096,583.8571428571429,3460.095238095238
5825,Guías de turismo,0.4054,0.4054,0.0718135242063491,high,2624.4920634920636,893.2380952380952,3364.714285714286
5823,Acompañantes turísticos,0.4054,0.4054,0.0649493623015873,high,339.76190476190476,296.07936507936506,425.0
4112,Empleados de control de personal y nóminas,0.4046,0.2274039256973496,0.1236186125396824,high,1576.6984126984128,546.3174603174604,1802.904761904762
4223,Empleados de servicio de personal,0.4046,0.4046,0.0885944228571428,high,238.63492063492063,360.2063492063492,242.47619047619048
1211,Directores financieros,0.3907,0.3907,0.1773905741269842,high,1726.6825396825398,304.57142857142856,1933.095238095238
1327,"Directores de sucursales de bancos, de servicios financieros y de seguros",0.3907,0.3907,0.1378086702380953,high,1225.4761904761904,17.253968253968253,1525.6190476190477
2411,Físicos y astrónomos,0.3849,0.3302709592992149,0.0747895404761904,high,525.5238095238095,149.61904761904762,540.0
5895,"Astrólogos, adivinadores y afines",0.3849,0.3849,0.1381617332539682,high,10.158730158730158,1.4126984126984128,8.80952380952381
2821,"Sociólogos, geógrafos, antropólogos, arqueólogos y afines",0.3833,0.1892569050002532,0.1817045162698413,high,2512.4603174603176,185.36507936507937,2888.4761904761904
1223,Directores de investigación y desarrollo,0.3777,0.0613,0.1321049783333333,high,622.6031746031746,192.22222222222223,607.8095238095239
2484,Diseñadores gráficos y multimedia,0.3672,0.3626693515268673,0.183471748968254,high,9953.0,569.2539682539683,10645.42857142857
3614,Secretarios de centros médicos o clínicas,0.3623,0.4187537867623904,0.1893903366378067,high,171.42857142857142,64.71428571428571,182.0952380952381
